,name,company,year,Price,kms_driven,fuel_type
129,Ford Fiesta Sport,Ford,2011,90000000,80000,Bensin
130,Mercedes-Benz E-Class E320,Mercedes-Benz,1994,73000000,140000,Bensin
131,Mitsubishi Triton,Mitsubishi,2012,128000000,195000,Diesel
132,KIA Rio Hatchback,KIA,2012,110000000,65000,Bensin
133,Isuzu Panther,Isuzu,1994,40000000,85000,Diesel
134,BMW Serie 3,BMW,2006,155000000,105000,Bensin
135,Datsun 120,Datsun,1986,18500000,10000,Bensin
136,Mazda Astina,Mazda,1991,35500000,35000,Bensin
137,Ford Ranger,Ford,2014,1200000000,15000,Bensin
138,Hyundai Accent GLS,Hyundai,2001,36000000,150000,Bensin
139,Ford Ranger Base,Ford,2012,130000000,150000,Diesel
140,BMW Serie 3,BMW,2018,600000000,15000,Bensin
141,Nissan Serena HWS,Nissan,2013,168000000,85000,Bensin
142,Suzuki APV SGX,Suzuki,2011,86000000,45000,Bensin
143,Volvo V70,Volvo,1997,102000000,75000,Bensin
144,Peugeot 306 ST,Peugeot,1996,25500000,105000,Bensin
145,Daihatsu Xenia Li,Daihatsu,2010,83500000,145000,Bensin
146,Daihatsu Terios TX,Daihatsu,2011,138000000,75000,Bensin
147,Mitsubishi Xpander EXCEED,Mitsubishi,2018,215000000,10000,Bensin
148,Chevrolet,Chevrolet,1986,23200000,45000,Diesel
149,Suzuki Ertiga,Suzuki,2019,185000000,5000,Bensin
150,Ford Fiesta Trend,Ford,2013,95000000,15000,Bensin
151,Ford Everest XLT,Ford,2008,115000000,175000,Diesel
152,Mazda Vantrend,Mazda,1994,22500000,60000,Bensin
153,Hino,Hino,2013,415000000,205000,Diesel
154,Toyota Corolla,Toyota,1993,45000000,205000,Bensin
155,Ford Fiesta Sport+,Ford,2013,69000000,5000,Bensin
156,Honda Jazz RS,Honda,2016,205000000,55000,Bensin
157,Mitsubishi Pajero Sport,Mitsubishi,2018,449000000,20000,Diesel
158,Mitsubishi Xpander ULTIMATE,Mitsubishi,2018,225000000,15000,Bensin
159,BMW Serie 3,BMW,2016,469000000,20000,Bensin
160,Ford Fiesta Trend,Ford,2013,105000000,35000,Bensin
161,Honda Brio Satya,Honda,2017,131000000,25000,Bensin
162,Peugeot 405,Peugeot,1994,34000000,180000,Bensin
163,Datsun Go+ Panca,Datsun,2014,78500000,45000,Bensin
164,Volvo XC90,Volvo,2008,210000000,80000,Bensin
165,Mercedes-Benz S-Class S400,Mercedes-Benz,2014,1175000000,40000,Bensin
166,Mercedes-Benz GLE-Class,Mercedes-Benz,2015,1390000000,30000,Bensin
167,Mazda 2 R,Mazda,2015,185000000,55000,Bensin
168,Isuzu Elf Minibus,Isuzu,2016,200000000,25000,Diesel
169,Chery New QQ,Chery,2009,37000000,95000,Bensin
170,Hyundai Avega GL,Hyundai,2007,44900000,155000,Bensin
171,Isuzu Panther,Isuzu,1995,55000000,140000,Diesel
172,Suzuki Escudo JLX,Suzuki,1994,55000000,10000,Bensin
173,Hyundai Cakra,Hyundai,1997,29500000,200000,Bensin
174,Nissan Serena HWS,Nissan,2007,82000000,140000,Bensin
175,Audi Audi Q5,Audi,2011,285000000,60000,Bensin
176,Honda Mobilio E,Honda,2015,134500000,55000,Bensin
177,Porsche Cayenne V6,Porsche,2012,1095000000,20000,Bensin
178,Wuling Confero S,Wuling,2017,127000000,30000,Bensin
179,Suzuki Escudo JLX,Suzuki,1995,42000000,205000,Bensin
180,Nissan Grand livina,Nissan,2011,86500000,195000,Bensin
181,Mitsubishi Colt Box,Mitsubishi,2010,90000000,25000,Diesel
182,Daihatsu Luxio X,Daihatsu,2011,99500000,105000,Bensin
183,Mitsubishi Pajero Sport,Mitsubishi,2016,440000000,35000,Diesel
184,BMW Serie 5,BMW,2013,385000000,55000,Bensin
185,Toyota Agya TRD,Toyota,2015,100000000,40000,Bensin
186,Nissan Grand livina,Nissan,2011,122000000,140000,Bensin
187,Hyundai Verna,Hyundai,2003,45000000,165000,Bensin
188,Honda Mobilio S,Honda,2017,135000000,85000,Bensin
189,Mazda CX-5 Grand,Mazda,2013,220000000,80000,Bensin
190,Toyota Agya G,Toyota,2016,107000000,15000,Bensin
191,Suzuki Carry Pick-up,Suzuki,2018,92000000,5000,Bensin
192,KIA Carens II,KIA,2006,65500000,210000,Bensin
193,Honda Mobilio E,Honda,2014,119000000,85000,Bensin
194,Ford Ecosport Titanium,Ford,2014,120000000,50000,Bensin
195,Daihatsu Terios,Daihatsu,2014,133000000,110000,Bensin
196,BMW Serie 3,BMW,2018,649000000,10000,Bensin
197,Honda CR-V,Honda,2005,95000000,45000,Bensin
198,Honda Brio Satya,Honda,2014,105000000,50000,Bensin
199,Honda CR-V,Honda,2004,88000000,105000,Bensin
200,Hyundai,Hyundai,1996,25000000,40000,Bensin
201,Honda CR-V 2.4,Honda,2012,220000000,50000,Bensin
202,KIA Picanto M/T,KIA,2004,57000000,145000,Bensin
203,Jeep CJ7,Jeep,1986,175000000,155000,Bensin
204,Honda Brio Satya,Honda,2017,126500000,45000,Bensin
205,Isuzu Colt 77,Isuzu,2018,165000000,10000,Diesel
206,Mazda CX-5 Grand,Mazda,2013,225000000,95000,Bensin
207,Mercedes-Benz,Mercedes-Benz,1989,140000000,95000,Bensin
208,Mercedes-Benz A-Class A140,Mercedes-Benz,2002,65000000,55000,Bensin
209,BMW Serie 4,BMW,2015,1250000000,20000,Bensin
210,Daihatsu Xenia Li,Daihatsu,2011,90000000,225000,Bensin
211,Daihatsu Xenia M,Daihatsu,2012,105000000,25000,Bensin
212,Daihatsu Terios Adventure,Daihatsu,2016,153000000,65000,Bensin
213,Mitsubishi Pajero Sport,Mitsubishi,2017,445000000,35000,Diesel
214,Ford Fiesta Trend,Ford,2014,125000000,20000,Bensin
215,Mitsubishi Pajero Sport,Mitsubishi,2014,305000000,35000,Diesel
216,Porsche Boxster S,Porsche,2014,1400000000,10000,Bensin
217,Honda CR-V,Honda,2017,415000000,50000,Bensin
218,Suzuki Splash,Suzuki,2011,75000000,80000,Bensin
219,Isuzu Panther Touring,Isuzu,2005,125000000,205000,Diesel
220,Hyundai H-1,Hyundai,2011,130000000,105000,Bensin
221,Ford Fiesta Sport,Ford,2011,109000000,150000,Bensin
222,KIA Carens II,KIA,2005,56000000,25000,Bensin
223,Porsche Boxster S,Porsche,2016,1900000000,15000,Bensin
224,Toyota Kijang LGX,Toyota,2002,79000000,100000,Bensin
225,Jeep Grand Cherokee,Jeep,2015,1150000000,5000,Bensin
226,Toyota Corolla,Toyota,1986,25000000,5000,Bensin
227,Toyota Fortuner G,Toyota,2010,203000000,45000,Bensin
228,Isuzu Elf Minibus,Isuzu,2001,65000000,195000,Diesel
229,Land Rover Range,Land Rover,2012,575000000,40000,Bensin
230,Bentley Continental GT,Bentley,2012,3250000000,25000,Bensin
231,Ford Fiesta EcoBoost,Ford,2012,105000000,65000,Bensin
232,Mazda Biante,Mazda,2016,235000000,60000,Bensin
233,Mazda 2 R,Mazda,2010,90000000,100000,Bensin
234,Datsun Go+ Panca,Datsun,2017,79000000,45000,Bensin
235,Holden,Holden,1986,150000000,75000,Bensin
236,Jeep Grand Cherokee,Jeep,2011,395000000,60000,Bensin
237,Volvo S90,Volvo,2000,29000000,115000,Bensin
