name,company,year,Price,kms_driven,fuel_type
Hino ,Hino,2013,415000000,205000,Diesel
Toyota Corolla ,Toyota,1993,45000000,205000,Bensin
Ford Fiesta Sport+,Ford,2013,69000000,5000,Bensin
Honda Jazz RS CVT,Honda,2016,205000000,55000,Bensin
Mitsubishi Pajero Sport Dakar,Mitsubishi,2018,449000000,20000,Diesel
Mitsubishi Xpander ULTIMATE A/T,Mitsubishi,2018,225000000,15000,Bensin
BMW Serie 3 320i M Sport,BMW,2016,469000000,20000,Bensin
Ford Fiesta Trend,Ford,2013,105000000,35000,Bensin
Honda Brio Satya E,Honda,2017,131000000,25000,Bensin
Peugeot 405 ,Peugeot,1994,34000000,180000,Bensin
Datsun Go+ Panca T,Datsun,2014,78500000,45000,Bensin
Volvo XC90 ,Volvo,2008,210000000,80000,Bensin
Mercedes-Benz S-Class S400 L,Mercedes-Benz,2014,1175000000,40000,Bensin
Mercedes-Benz GLE-Class ,Mercedes-Benz,2015,1390000000,30000,Bensin
Mazda 2 R,Mazda,2015,185000000,55000,Bensin
Isuzu Elf Minibus 2.8 Minibus Diesel,Isuzu,2016,200000000,25000,Diesel
Chery New QQ 1.0 MT,Chery,2009,37000000,95000,Bensin
Hyundai Avega GL,Hyundai,2007,44900000,155000,Bensin
Isuzu Panther ,Isuzu,1995,55000000,140000,Diesel
Suzuki Escudo JLX,Suzuki,1994,55000000,10000,Bensin
Hyundai Cakra ,Hyundai,1997,29500000,200000,Bensin
Nissan Serena HWS,Nissan,2007,82000000,140000,Bensin
Audi Audi Q5 2.0 TFSI,Audi,2011,285000000,60000,Bensin
Honda Mobilio E Prestige,Honda,2015,134500000,55000,Bensin
Porsche Cayenne V6 3.6,Porsche,2012,1095000000,20000,Bensin
Wuling Confero S S 1.5L LUX,Wuling,2017,127000000,30000,Bensin
Suzuki Escudo JLX,Suzuki,1995,42000000,205000,Bensin
Nissan Grand livina ,Nissan,2011,86500000,195000,Bensin
Mitsubishi Colt Box 3.3,Mitsubishi,2010,90000000,25000,Diesel
Daihatsu Luxio X,Daihatsu,2011,99500000,105000,Bensin
Mitsubishi Pajero Sport Dakar 2.4,Mitsubishi,2016,440000000,35000,Diesel
BMW Serie 5 520i,BMW,2013,385000000,55000,Bensin
Toyota Agya TRD Sportivo,Toyota,2015,100000000,40000,Bensin
Nissan Grand livina ,Nissan,2011,122000000,140000,Bensin
Hyundai Verna ,Hyundai,2003,45000000,165000,Bensin
Honda Mobilio S,Honda,2017,135000000,85000,Bensin
Mazda CX-5 Grand Touring,Mazda,2013,220000000,80000,Bensin
Toyota Agya G,Toyota,2016,107000000,15000,Bensin
Suzuki Carry Pick-up ,Suzuki,2018,92000000,5000,Bensin
KIA Carens II ,KIA,2006,65500000,210000,Bensin
Honda Mobilio E,Honda,2014,119000000,85000,Bensin
Ford Ecosport Titanium,Ford,2014,120000000,50000,Bensin
Daihatsu Terios ,Daihatsu,2014,133000000,110000,Bensin
BMW Serie 3 320i Luxury,BMW,2018,649000000,10000,Bensin
Honda CR-V ,Honda,2005,95000000,45000,Bensin
Honda Brio Satya E,Honda,2014,105000000,50000,Bensin
Honda CR-V ,Honda,2004,88000000,105000,Bensin
Hyundai ,Hyundai,1996,25000000,40000,Bensin
Honda CR-V 2.4 Prestige,Honda,2012,220000000,50000,Bensin
KIA Picanto M/T,KIA,2004,57000000,145000,Bensin
Jeep CJ7 ,Jeep,1986,175000000,155000,Bensin
Honda Brio Satya E,Honda,2017,126500000,45000,Bensin
Isuzu Colt 77 PS ,Isuzu,2018,165000000,10000,Diesel
Mazda CX-5 Grand Touring,Mazda,2013,225000000,95000,Bensin
Mercedes-Benz ,Mercedes-Benz,1989,140000000,95000,Bensin
Mercedes-Benz A-Class A140,Mercedes-Benz,2002,65000000,55000,Bensin
BMW Serie 4 435i,BMW,2015,1250000000,20000,Bensin
Daihatsu Xenia Li,Daihatsu,2011,90000000,225000,Bensin
